GO_t term CLIN_Pr NOCLIN_Pr CLIN_Abs NOCLIN_Abs
GO 6378 45 97 0 0
GO 6379 0 6 45 91
GO 6382 44 97 1 0
GO 6396 45 97 0 0
GO 6397 45 97 0 0
GO 6399 45 97 0 0
GO 6400 45 97 0 0
GO 6401 45 97 0 0
GO 6402 45 97 0 0
GO 6412 45 97 0 0
GO 6413 45 97 0 0
GO 6414 45 97 0 0
GO 6415 45 97 0 0
GO 6417 45 97 0 0
GO 6418 45 97 0 0
GO 6419 45 97 0 0
GO 6420 44 97 1 0
GO 6421 45 97 0 0
GO 6422 45 97 0 0
GO 6423 45 97 0 0
GO 6424 45 96 0 1
GO 6425 45 97 0 0
GO 6426 45 96 0 1
GO 6427 44 97 1 0
GO 6428 45 97 0 0
GO 6429 45 97 0 0
GO 6430 0 1 45 96
GO 6431 45 97 0 0
GO 6432 45 95 0 2
GO 6433 45 96 0 1
GO 6434 45 97 0 0
GO 6435 45 97 0 0
GO 6436 44 96 1 1
GO 6437 45 97 0 0
GO 6438 45 97 0 0
GO 6446 45 97 0 0
GO 6448 45 97 0 0
GO 6450 45 97 0 0
GO 6451 35 29 10 68
GO 6457 45 97 0 0
GO 6458 45 97 0 0
GO 6464 45 97 0 0
GO 6465 45 97 0 0
GO 6468 45 97 0 0
GO 6470 45 97 0 0
GO 6473 45 97 0 0
GO 6474 44 97 1 0
GO 6475 45 95 0 2
GO 6476 45 97 0 0
GO 6479 45 97 0 0
GO 6480 45 97 0 0
GO 6482 20 19 25 78
GO 6486 43 97 2 0
GO 6487 43 97 2 0
GO 6497 1 0 44 97
GO 6508 45 97 0 0
GO 6511 44 96 1 1
GO 6515 45 97 0 0
GO 6517 2 4 43 93
GO 6518 45 97 0 0
GO 6520 45 97 0 0
GO 6521 45 97 0 0
GO 6522 45 97 0 0
GO 6523 45 95 0 2
GO 6524 45 97 0 0
GO 6525 45 97 0 0
GO 6526 45 97 0 0
GO 6527 45 97 0 0
GO 6528 45 97 0 0
