GO_term term CLIN1_Pr NOCLIN_Pr CLIN1_Abs NOCLIN_Abs
GO 5102 0 1 23 96
GO 5126 0 1 23 96
GO 5160 0 1 23 96
GO 5179 0 1 23 96
GO 5198 23 97 0 0
GO 5215 23 97 0 0
GO 5216 23 97 0 0
GO 5261 23 97 0 0
GO 5262 16 61 7 36
GO 5267 23 97 0 0
GO 5275 1 28 22 69
GO 5283 23 96 0 1
GO 5294 23 91 0 6
GO 5295 23 96 0 1
GO 5300 21 97 2 0
GO 5302 0 6 23 91
GO 5304 0 1 23 96
GO 5310 23 96 0 1
GO 5315 23 97 0 0
GO 5319 23 97 0 0
GO 5326 23 63 0 34
GO 5337 23 97 0 0
GO 5342 23 97 0 0
GO 5343 23 96 0 1
GO 5345 0 13 23 84
GO 5350 23 94 0 3
GO 5351 0 5 23 92
GO 5372 18 50 5 47
GO 5375 1 0 22 97
GO 5381 23 97 0 0
GO 5384 0 3 23 94
GO 5385 23 97 0 0
GO 5402 1 27 22 70
GO 5416 23 96 0 1
GO 5451 23 97 0 0
GO 5452 0 1 23 96
GO 5469 1 80 22 17
GO 5488 23 97 0 0
GO 5504 23 97 0 0
GO 5506 23 97 0 0
GO 5507 23 97 0 0
GO 5509 23 96 0 1
GO 5515 23 97 0 0
GO 5524 23 97 0 0
GO 5525 23 97 0 0
GO 5527 23 97 0 0
GO 5528 23 97 0 0
GO 5534 1 12 22 85
GO 5539 22 97 1 0
GO 5542 23 97 0 0
GO 5543 23 97 0 0
GO 5545 0 1 23 96
GO 5575 23 97 0 0
GO 5576 23 97 0 0
GO 5615 22 14 1 83
GO 5618 23 97 0 0
GO 5622 23 97 0 0
GO 5623 23 97 0 0
GO 5628 0 2 23 95
GO 5634 23 97 0 0
GO 5654 0 1 23 96
GO 5655 23 96 0 1
GO 5657 23 97 0 0
GO 5658 23 96 0 1
GO 5694 23 97 0 0
GO 5730 23 96 0 1
GO 5737 23 97 0 0
GO 5739 1 3 22 94
GO 5740 1 2 22 95
GO 5743 1 2 22 95
GO 5746 1 2 22 95
GO 5747 0 1 23 96
GO 5750 1 1 22 96
GO 5751 1 2 22 95
GO 5753 1 1 22 96
GO 5759 0 1 23 96
GO 5761 0 1 23 96
GO 5762 0 1 23 96
GO 5768 1 1 22 96
GO 5769 0 1 23 96
GO 5770 1 0 22 97
GO 5773 0 1 23 96
GO 5794 1 1 22 96
GO 5802 1 1 22 96
GO 5829 23 97 0 0
GO 5840 23 97 0 0
GO 5844 23 94 0 3
GO 5856 23 97 0 0
GO 5886 23 97 0 0
GO 5887 23 97 0 0
GO 5929 1 0 22 97
GO 5933 0 2 23 95
GO 5935 0 2 23 95
GO 5948 23 96 0 1
GO 5950 23 97 0 0
GO 5951 23 97 0 0
GO 5960 23 97 0 0
GO 5971 23 97 0 0
GO 5975 23 97 0 0
GO 5976 23 97 0 0
GO 5977 23 97 0 0
GO 5978 23 97 0 0
GO 5979 23 94 0 3
GO 5981 23 95 0 2
