"","G","Gene","MC","WTC","MD","WTD","Fisher.p","phi","OR1","OR2"
"4749","GO",98743,0,0,23,22,1,NA,"NaN",NA
"4750","GO",98754,23,22,0,0,1,NA,"NaN",NA
"4751","GO",98771,23,22,0,0,1,NA,"NaN",NA
"4752","GO",98772,23,22,0,0,1,NA,"NaN",NA
"4753","GO",98776,23,22,0,0,1,NA,"NaN",NA
"4754","GO",98791,1,1,22,21,1,0.005,"1.050",0.955
"4755","GO",98795,0,0,23,22,1,NA,"NaN",NA
"4756","GO",98796,23,22,0,0,1,NA,"NaN",NA
"4757","GO",98797,23,22,0,0,1,NA,"NaN",NA
"4758","GO",98798,1,0,22,22,1,-0.147,"0.000",Inf
"4759","GO",98800,1,0,22,22,1,-0.147,"0.000",Inf
"4760","GO",98803,23,22,0,0,1,NA,"NaN",NA
"4761","GO",98805,0,0,23,22,1,NA,"NaN",NA
"4762","GO",98809,23,22,0,0,1,NA,"NaN",NA
"4763","GO",98813,23,22,0,0,1,NA,"NaN",NA
"4764","GO",98869,23,22,0,0,1,NA,"NaN",NA
"4765","GO",99046,23,22,0,0,1,NA,"NaN",NA
"4766","GO",99116,23,21,0,1,0.489,-0.154,"0.000",Inf
"4767","GO",99131,23,22,0,0,1,NA,"NaN",NA
"4768","GO",99132,23,22,0,0,1,NA,"NaN",NA
"4769","GO",99133,23,22,0,0,1,NA,"NaN",NA
"4770","GO",99516,23,22,0,0,1,NA,"NaN",NA
"4771","GO",99620,0,0,23,22,1,NA,"NaN",NA
"4772","GO",99621,0,0,23,22,1,NA,"NaN",NA
"4773","GO",101005,0,0,23,22,1,NA,"NaN",NA
"4774","GO",101031,23,22,0,0,1,NA,"NaN",NA
"4775","GO",104004,23,22,0,0,1,NA,"NaN",NA
"4776","GO",106004,23,22,0,0,1,NA,"NaN",NA
"4777","GO",106009,23,21,0,1,0.489,-0.154,"0.000",Inf
"4778","GO",106026,23,21,0,1,0.489,-0.154,"0.000",Inf
"4779","GO",106050,22,0,1,22,5.83e-12,-0.957,"0.000",Inf
"4780","GO",106074,23,22,0,0,1,NA,"NaN",NA
